Intents,Is Followup,Total-total,Total-tagged,Total-untagged,Actual-total,Actual-tagged,Actual-untagged,Synth-total,Synth-tagged,Synth-untagged,No. of Entities,Names of Entities,Is Considered for Training,Reason
repeat,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
profanity_filter,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
start_dialogue,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
cancel_dialogue,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
no_intent_found,NO,0,0,0,0,0,0,0,0,0,0,[],NO,No Intent Found (NIF) Discarded
hi,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
bye,NO,79,0,79,79,0,79,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
email_show,NO,32136,31915,221,4518,4297,221,27618,27618,0,22,"['date', 'time', 'before_after_time', 'from', 'subject', 'to', 'has_attachment_greater_lower', 'has_attachments', 'has_attachments_size', 'flag', 'attachment_name', 'type', 'email_request', 'folder_name', 'before_after_date', 'copied_cc_me', 'copied_bcc_me', 'cc', 'sent_to_me', 'email_read_unread', 'message', 'account_id']",YES,-
email_reply,NO,405,287,118,405,287,118,0,0,0,3,"['to', 'body', 'latest']",YES,-
email_reply_all,NO,275,181,94,275,181,94,0,0,0,3,"['cc', 'to', 'body']",YES,-
email_compose,NO,11797,11688,109,11797,11688,109,0,0,0,6,"['subject', 'to', 'bcc', 'cc', 'account', 'body']",YES,-
followup_email_compose_edits,YES,21505,21505,0,3086,3086,0,18419,18419,0,7,"['body', 'action', 'field', 'subject', 'to', 'bcc', 'cc']",NO,This followup intent is mapped to 5 main intents (more than 1)
followup_email_compose_replace,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
email_delete,NO,2004,1963,41,2004,1963,41,0,0,0,18,"['date', 'sent_to_me', 'all', 'folder_name', 'flag', 'to', 'has_attachments', 'time', 'account_id', 'has_attachments_size', 'has_attachment_greater_lower', 'copied_bcc_me', 'from', 'subject', 'copied_cc_me', 'read_unread', 'before_after_date', 'message']",YES,-
followup_email_compose_edit,YES,408,0,408,408,0,408,0,0,0,0,[],NO,Intents having only records with forClassifier=0 are discarded.
weather_find,NO,3600,3392,208,3440,3232,208,160,160,0,7,"['specific_time', 'range_time', 'weather_find_condition', 'range_date', 'location', 'specific_date', 'unit']",YES,-
news_search,NO,2353,2040,313,2353,2040,313,0,0,0,11,"['news_category_type', 'news_source', 'news_type', 'range_date', 'category', 'range_time', 'location', 'topic', 'specific_date', 'item_no', 'specific_time']",YES,-
parking_free,NO,1951,1546,405,1951,1546,405,0,0,0,4,"['parking_feature', 'car_type', 'floor_no', 'location']",YES,-
parking_check,NO,802,598,204,802,598,204,0,0,0,6,"['car_name', 'car_color', 'car_type', 'car_number', 'location', 'floor_no']",YES,-
email_autoreply_on,NO,834,620,214,834,620,214,0,0,0,5,"['skill_name', 'start_date', 'end_date', 'autoreply_body', 'indefinite_date']",YES,-
email_autoreply_off,NO,177,59,118,177,59,118,0,0,0,1,['skill_name'],YES,-
email_default_account,NO,789,533,256,789,533,256,0,0,0,1,['email_from_account'],YES,-
add_service,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
remove_service,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
parking_add_car_number,NO,488,476,12,488,476,12,0,0,0,3,"['car_color', 'car_name', 'car_number']",YES,-
email_forward,NO,1063,1004,59,1063,1004,59,0,0,0,7,"['to', 'date', 'from', 'unread', 'keywords', 'subject', 'latest']",YES,-
followup_email_show_question,YES,6,0,6,6,0,6,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
calendar_compose,NO,2246,2182,64,2246,2182,64,0,0,0,10,"['start_date', 'start_time', 'to', 'subject', 'message', 'location', 'end_time', 'duration', 'unit', 'end_date']",YES,-
calendar_show_event,NO,2457,1985,472,2457,1985,472,0,0,0,7,"['state', 'date', 'time', 'type', 'attendee', 'keyword', 'timeline']",YES,-
calendar_action_event,NO,28064,27761,303,1348,1045,303,26716,26716,0,9,"['time', 'action', 'date', 'keyword', 'attendee', 'attendees_from', 'number', 'number_unit', 'timeline']",YES,-
generic_readback,NO,126,113,13,126,113,13,0,0,0,3,"['item_no', 'type', 'keyword']",YES,-
movies_showtimes,NO,5564,5333,231,5564,5333,231,0,0,0,24,"['director', 'movie_name', 'synopsis', 'specific_time', 'theatre_name', 'starring', 'cast', 'director_name', 'rating', 'language', 'before_after', 'specific_date', 'upcoming', 'genre', 'range_date', 'range_time', 'experience_type', 'subtitles', 'age_rating', 'movies_location', 'location_near', 'running_time_range', 'range_relation', 'num_of_tickets']",YES,-
alarm_delete,NO,1815,1725,90,1815,1725,90,0,0,0,5,"['time', 'date', 'all', 'repeat', 'label']",YES,-
alarm_disable,NO,1927,1724,203,1927,1724,203,0,0,0,5,"['all', 'time', 'date', 'label', 'repeat']",YES,-
alarm_setup,NO,8672,8188,484,8456,7972,484,216,216,0,15,"['time', 'date', 'snooze_intervals_time', 'snooze_intervals_unit', 'alarm_wakeup_units', 'alarm_wake_up', 'label', 'repeat', 'all', 'alarm_meeting_no', 'alarm_meeting_time', 'alarm_meeting_date', 'alarm_meeting_request', 'snooze_repeats_time', 'sound']",YES,-
alarm_snooze,NO,204,123,81,204,123,81,0,0,0,2,"['snooze_intervals_unit', 'snooze_intervals_time']",YES,-
alarm_view,NO,1283,1190,93,1283,1190,93,0,0,0,4,"['repeat', 'label', 'date', 'time']",YES,-
followup_reminder_selection,YES,345,343,2,345,343,2,0,0,0,3,"['item_no', 'action', 'name']",YES,-
reminder_complete,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
reminder_delete,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
reminder_setup,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
reminder_view,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
movies_buy_tickets,NO,2634,2457,177,2634,2457,177,0,0,0,5,"['theatre_name', 'specific_time', 'specific_date', 'num_of_tickets', 'movie_name']",YES,-
followup_movies_showtimes_cancel,YES,98,0,98,98,0,98,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_movies_showtimes_payment,YES,141,141,0,141,141,0,0,0,0,1,['payment_form'],YES,-
transport_cancel_ride,NO,216,120,96,216,120,96,0,0,0,1,['car_type'],YES,-
transport_contact_driver,NO,228,228,0,228,228,0,0,0,0,3,"['contact_action', 'car_type', 'message']",YES,-
music_collection_add,NO,962,904,58,962,904,58,0,0,0,6,"['collection_name', 'song_name', 'album_name', 'this_collection', 'artist_name', 'this_song']",YES,-
music_collection_delete,NO,416,405,11,416,405,11,0,0,0,3,"['collection_name', 'song_name', 'this_collection']",YES,-
music_collection_rename,NO,370,365,5,370,365,5,0,0,0,3,"['new_collection_name', 'old_collection_name', 'this_collection']",YES,-
music_control,NO,1366,1364,2,1366,1364,2,0,0,0,4,"['control_action', 'music_identify', 'generic_action', 'volume_setting']",YES,-
followup_music_play_correction,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
music_identify,NO,156,154,2,156,154,2,0,0,0,1,['music_identify'],YES,-
music_info_concerts,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
music_info_list_albums,NO,457,453,4,457,453,4,0,0,0,6,"['this_song', 'artist_name', 'song_name', 'this_album', 'album_name', 'this_artist']",YES,-
music_info_similar_artists,NO,798,794,4,798,794,4,0,0,0,6,"['artist_name', 'this_artist', 'song_name', 'this_song', 'album_name', 'this_album']",YES,-
music_info_similar_songs,NO,527,524,3,527,524,3,0,0,0,6,"['song_name', 'album_name', 'this_song', 'artist_name', 'this_artist', 'this_album']",YES,-
music_info_tracklist,NO,456,456,0,456,456,0,0,0,0,7,"['youtube', 'song_name', 'album_name', 'this_artist', 'artist_name', 'this_album', 'this_song']",YES,-
music_search_collections,NO,332,192,140,332,192,140,0,0,0,1,['collection_name'],YES,-
music_save_favourite,NO,313,251,62,313,251,62,0,0,0,6,"['this_artist', 'artist_name', 'this_album', 'this_song', 'album_name', 'song_name']",YES,-
music_recommendations,NO,950,858,92,950,858,92,0,0,0,3,"['mood_activity', 'era', 'genre']",YES,-
music_play,NO,3177,2963,214,3177,2963,214,0,0,0,14,"['album_name', 'different', 'similar', 'artist_name', 'mood_activity', 'music_identify', 'youtube', 'song_name', 'new', 'next', 'genre', 'era', 'trending', 'collection_name']",YES,-
followup_movies_showtimes_check_with_friend,YES,548,548,0,548,548,0,0,0,0,6,"['item_reference', 'to', 'theatre_name', 'specific_time', 'specific_date', 'movie_name']",NO,This followup intent is mapped to 2 main intents (more than 1)
followup_movies_showtimes_selection,YES,5086,5071,15,5086,5071,15,0,0,0,11,"['theatre_name', 'item_no', 'specific_time', 'seat_number', 'specific_date', 'num_of_ticket', 'seat_class', 'movie_name', 'vox_countries', 'experience_type', 'item_reference']",YES,-
